,Symbol,Insider,Ins-Count,Ins-Date,Ins-Amt,Representative,Rep-Date,Rep-Amt,Senator,Sen-Date,Sen-Amt,currentRatio,quickRatio,cashRatio,daysOfSalesOutstanding,daysOfInventoryOutstanding,operatingCycle,daysOfPayablesOutstanding,cashConversionCycle,grossProfitMargin,operatingProfitMargin,pretaxProfitMargin,netProfitMargin,effectiveTaxRate,returnOnAssets,returnOnEquity,returnOnCapitalEmployed,netIncomePerEBT,ebtPerEbit,ebitPerRevenue,debtRatio,debtEquityRatio,longTermDebtToCapitalization,totalDebtToCapitalization,interestCoverage,cashFlowToDebtRatio,companyEquityMultiplier,receivablesTurnover,payablesTurnover,inventoryTurnover,fixedAssetTurnover,assetTurnover,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,payoutRatio,operatingCashFlowSalesRatio,freeCashFlowOperatingCashFlowRatio,cashFlowCoverageRatios,shortTermCoverageRatios,capitalExpenditureCoverageRatio,dividendPaidAndCapexCoverageRatio,dividendPayoutRatio,priceBookValueRatio,priceToBookRatio,priceToSalesRatio,priceEarningsRatio,priceToFreeCashFlowsRatio,priceToOperatingCashFlowsRatio,priceCashFlowRatio,priceEarningsToGrowthRatio,priceSalesRatio,dividendYield,enterpriseValueMultiple,priceFairValue,symbol.1,date.1,period.1,revenuePerShare,netIncomePerShare,operatingCashFlowPerShare.1,freeCashFlowPerShare.1,cashPerShare.1,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,interestDebtPerShare,marketCap,enterpriseValue,peRatio,priceToSalesRatio.1,pocfratio,pfcfRatio,pbRatio,ptbRatio,evToSales,enterpriseValueOverEBITDA,evToOperatingCashFlow,evToFreeCashFlow,earningsYield,freeCashFlowYield,debtToEquity,debtToAssets,netDebtToEBITDA,currentRatio.1,interestCoverage.1,incomeQuality,dividendYield.1,payoutRatio.1,salesGeneralAndAdministrativeToRevenue,researchAndDdevelopementToRevenue,intangiblesToTotalAssets,capexToOperatingCashFlow,capexToRevenue,capexToDepreciation,stockBasedCompensationToRevenue,grahamNumber,roic,returnOnTangibleAssets,grahamNetNet,workingCapital,tangibleAssetValue,netCurrentAssetValue,investedCapital,averageReceivables,averagePayables,averageInventory,daysSalesOutstanding,daysPayablesOutstanding,daysOfInventoryOnHand,receivablesTurnover.1,payablesTurnover.1,inventoryTurnover.1,roe,capexPerShare,Ins-Buy-Price,Mon-3-Price,Mon-6-Price,Mon-12-Price,Labels
0,BRSP,Traenkle Kevin P.,3,2019-11-13,650766,0,0,0,0,0,0,2.4477532205873374,1.382159510653886,0.0287773215703034,7078.606512410855,0.0,1745.4098249780188,33.144956433858674,1712.2648685441602,0.4497441177133667,-0.7221892401686343,-2.8935664955774825,-2.6755367516100668,-0.0027165726514372,-0.0478288338961911,-0.167405191554109,-0.0179717224155164,0.9246501698507184,4.006659660149218,-0.7221892401686343,0.703237851022662,2.46139530422304,0.5903115463973528,0.7004022553345848,-6.729290665919754,0.0100684578706639,3.500089337687997,0.0515638211221444,2.715345249573537,0.0,5.267347504255235,0.0178763509293636,0.3894477248504368,0.3894477248504368,2.466512630211372,-0.1570537397024416,0.3761958081897361,1.0,0.0100684578706639,0.026243004137231,0.0,0.8952714786465412,-0.1570537397024416,0.6913771336612763,0.6913771336612763,11.049865975845035,-1.0324905805531843,29.37264513663051,29.37264513663051,29.37264513663051,0.0044937413868636,11.049865975845035,0.0380278868060704,-20.27681334267335,0.6913771336612763,BRSP,2019-09-30,Q3,1.0352261146249058,-2.769785515905431,0.3894477248504368,0.3894477248504368,2.466512630211372,16.545397966407606,16.46568799060222,16.545397966407606,38.79107833298325,1470394615.5397234,6382025615.539723,-1.0324905805531843,11.04986597584504,29.37264513663051,29.37264513663051,0.6913771336612763,0.6913771336612763,47.96027335848112,-20.27681334267335,127.4875272780608,127.4875272780608,-0.2421329595724309,0.0340452824506739,2.46139530422304,0.703237851022662,-15.605112074854247,2.4477532205873374,-6.729290665919754,-0.1245289120511449,0.0380278868060704,-0.1570537397024416,0.1542057128256769,0.0,0.0124315929228624,0.0,0.0,0.0,0.0218683540118284,32.11093399374357,-0.0179717224155164,-0.0484309072196305,-23.20080363463797,3035232000.0,2116516000.0,-103058000.0,2.337808838036414,2523368000.0,27446500.0,0.0,1745.4098249780188,33.144956433858674,0.0,0.0515638211221444,2.715345249573537,0.0,-0.167405191554109,0.0,9.404844793,10.8533820863,3.2660834917,5.8316891285,Strong Buy
1,RMBI,Mann Lindley S.,1,2019-07-01,300000,0,0,0,0,0,0,0.0,0.0,0.0,4824.2021119953215,0.0,,0.0,,0.0,0.0,0.0351689590263798,0.0401669843868639,-0.1421146800715685,0.0003094348130135,0.0036821422522881,0.0,1.1421146800715685,0.0,0.0,0.915963373543953,10.899573342856892,0.6331777210079025,0.6331777210079025,0.0,0.0181819159770846,11.899573342856892,0.0756601799689179,0.0,0.0,0.5985095537197671,0.0077037103416397,0.2192723748476677,0.2052963833686776,25.858463109209023,0.0,0.3423562273658069,0.9362619596349084,0.0181819159770846,0.0,-15.689217840272438,-15.689217840272438,0.0,1.9537018969935416,1.9537018969935416,21.312135223553764,132.6470953002611,66.48923754047291,62.251343834274095,62.251343834274095,-1.7550882125603025,21.312135223553764,0.0,38.11526690557309,1.9537018969935416,RMBI,2019-06-30,Q2,0.6404801704201971,0.025726157005364,0.2192723748476677,0.2052963833686776,25.858463109209023,6.98673631888536,6.893772715496147,6.98673631888536,12.283766900482666,177813431.25,132493127.25,132.6470953002611,21.312135223553764,62.251343834274095,66.48923754047291,1.9537018969935416,1.9537018969935416,15.880192088377552,38.11526690557309,46.38499556606459,49.54275359446648,0.0018847001469131,0.0150400280856174,10.899573342856892,0.915963373543953,-13.037623302092536,0.0,0.0,8.523324132786273,0.0,0.0,0.7102058599150576,0.0,0.0011181683772594,-0.0637380403650916,-0.0218211150390822,-0.6827241465948167,0.0,2.011017702217284,0.0,0.0003097812005558,-43.945065817124544,913832530.0,89802592.0,-78176813.0,1.7261157712330315,110321735.0,704874.0,0.0,1189.5292878892571,0.0,0.0,0.0756601799689179,0.0,0.0,0.0036821422522881,-0.0139759914789901,13.65,13.54,0.0,11.02,Weak
2,CCAP,Texas County & District Retirement System,5,2019-11-22,1317742,0,0,0,0,0,0,0.0,1.2893286827258457,1.056498510828047,1407.515024415297,0.0,,0.0,,0.0,0.0,2.748796155660706,2.714975047228122,0.0123039710903751,0.0038046321761135,0.0071627205045659,0.0,0.9876960289096248,0.0,0.0,0.4688286142551247,0.8826315325658486,0.0,0.0,0.0,0.0,1.8826315325658485,0.259322276258917,0.0,0.0,0.0,0.0014013506974945,-6.485761401584207,-6.485761401584207,1.1152891750110687,2.2988631572772964,-101.75676372402454,1.0,0.0,0.0,0.0,-16.303630484614263,2.2988631572772964,0.6788257826112369,0.6788257826112369,257.3037800413656,23.693015181121297,-2.528615991947244,-2.528615991947244,-2.528615991947244,-0.3486590922419819,257.3037800413656,0.02425676026989,89.16126435477742,0.6788257826112369,CCAP,2019-09-30,Q3,0.0637378898878339,0.1730467806084427,-6.485761401584207,-6.485761401584207,1.1152891750110687,24.159365215790967,24.159365215790967,24.159365215790967,0.2235455986288872,258512593.2,560418758.2,23.693015181121297,257.30378004136566,-2.528615991947244,-2.528615991947244,0.6788257826112369,0.6788257826112369,557.7982221523284,89.16126435477742,-5.481682020323859,-5.481682020323859,0.0105516329639294,-0.395473256194159,0.8826315325658486,0.4688286142551247,48.03253815835968,0.0,0.0,-37.47981545094272,0.02425676026989,2.2988631572772964,0.8364015853520163,0.0,0.0,0.0,0.0,0.0,0.0,9.698750351105293,0.0,0.0038046321761135,-20.0241885678473,-16640120.0,380823180.0,-336126547.0,0.0,3363212.5,28922107.0,0.0,347.0584991708952,0.0,0.0,0.259322276258917,0.0,0.0,0.0071627205045659,0.0,16.4,0.0,10.98,0.0,Weak
4,CTXR,HOLUBIAK MYRON Z,3,2019-09-27,4123839,0,0,0,0,0,0,1.128665757600223,1.1171192433978347,1.1171192433978347,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,-0.1724639710546277,-0.2048431436960018,-0.2058256097229264,1.0,0.9952267065879356,0.0,0.1580681298731995,0.1877445616227753,0.0,0.0079782934330254,-1069.771145480909,-20.363918598600915,1.1877445616227753,0.0,0.0,0.0,0.0,0.0,-0.1601038654456396,-0.1601038654456396,0.2050305296902277,0.0,0.0,1.0,-20.363918598600915,-20.363918598600915,0.0,0.0,0.0,1.022935769365519,1.022935769365519,0.0,-1.248437891193969,-6.245945388117638,-6.245945388117639,-6.245945388117639,0.0,0.0,0.0,-4.013125938804542,1.022935769365519,CTXR,2019-06-30,Q3,0.0,-0.200250250143327,-0.1601038654456396,-0.1601038654456396,0.2050305296902277,0.9775784853239172,0.023649993066031,0.9775784853239172,0.0080502220256398,22000387.0,17662606.0,-1.248437891193969,0.0,-6.245945388117639,-6.245945388117638,1.022935769365519,1.022935769365519,0.0,-4.013125938804542,-5.014442359029363,-5.014442359029363,-0.200250250143327,-0.1601038654456396,0.1877445616227753,0.1580681298731995,0.9855885053402372,1.128665757600223,-1069.771145480909,0.7995189285958294,0.0,0.0,0.0,0.0,0.8215634974697735,0.0,0.0,0.0,0.0,2.09871569417325,-0.2058256097229264,-0.9665285331705772,0.0214954855112321,519532.0,520309.0,519532.0,0.0080424585270774,0.0,2178474.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2048431436960018,0.0,0.72,1.08,0.5956,0.0,Strong Buy
5,ADES,Alta Fundamental Advisers LLC,7,2019-12-31,762343,0,0,0,0,0,0,1.2610642107955998,0.67301100025582,0.3876950626758761,212.7656405163853,127.52575592595694,179.98851660123003,51.54703073959293,128.4414858616371,0.3759995818742487,-0.1249673339256781,0.549730831547588,0.2050384153034025,0.627020346073398,0.0219495546304999,0.0365610438024231,-0.0171228462166459,0.372979653926602,-4.398996235884567,-0.1249673339256781,0.3996463900452083,0.6656849953401678,0.1967119841887764,0.3304337516302347,-1.3828802776171196,0.3215304137631484,1.6656849953401678,1.715502555366269,1.745978356244516,0.7057397883785541,0.3355195089872863,0.1070509377377915,0.9400397526501768,0.794666519434629,0.836738074204947,1.1598266632679073,0.8898761302461715,0.8453541642194291,0.3215304137631484,0.6382276867713761,-6.466388150398784,8.881585811163276,1.1598266632679073,2.504958807082945,2.504958807082945,14.04808864265928,17.12860565893449,18.674500104217326,15.78656642781628,15.78656642781628,-0.3351248933269791,14.04808864265928,0.016928211880792,21.45416934919524,2.504958807082945,ADES,2019-09-30,Q3,1.0563714664310957,0.2165967314487632,0.9400397526501768,0.794666519434629,0.836738074204947,5.924249116607774,5.686837455830389,5.924249116607774,3.0191033568904597,268782080.0,306580080.0,17.12860565893449,14.04808864265928,15.78656642781628,18.674500104217326,2.504958807082945,2.504958807082945,16.023628286207078,21.45416934919524,18.006582873252672,21.30063781004655,0.0145954670787576,0.0535489568352175,0.6656849953401678,0.3996463900452083,2.6450664800559838,1.2610642107955998,-1.3828802776171196,4.340045883252613,0.016928211880792,1.1598266632679073,0.394188052056656,0.0,0.0240589051519627,-0.1546458357805709,-0.1376156379030993,-1.2887909936368087,0.024460356452203,5.373210621804528,-0.0171228462166459,0.0224906551700415,-2.17810015459364,10205000.0,103000000.0,-22133000.0,0.4935041938490214,10474000.0,6734500.0,17357500.0,52.46276067527309,51.54703073959293,127.52575592595694,1.715502555366269,1.745978356244516,0.7057397883785541,0.0365610438024231,-0.1453732332155477,10.5,6.57,0.0,5.5,Weak
6,SDC,KATZMAN DAVID B,1,2019-09-16,684352,0,0,0,0,0,0,2.0799581902693105,1.9322051713264663,0.8705766939948146,338.9235114457031,35.6962353959325,119.26641630035245,129.30765902206835,-10.041242721715918,0.8229516736978661,0.0034985750329427,-0.1651633860077428,-0.1656588046620427,-0.0029995670727936,-0.0597859245482646,0.1435145240149554,0.0018450333587418,1.0029995670727936,-47.20875912408759,0.0034985750329427,1.416584488285203,-3.4004734408530783,-3.1448273332477488,-3.1448273332477488,0.2002923976608187,-0.3446972789512357,-2.4004734408530783,1.0769391549233798,0.6960144563798816,2.5212742744926904,2.2564711305750835,0.3608979593341431,-0.5638685065663855,-0.7312604109569988,1.4222445000163986,0.0,-0.3018887197769084,1.2968633687487312,-0.3446972789512357,0.0,3.368553029007808,3.368553029007808,0.0,-7.73189554593925,-7.73189554593925,8.924926467920367,-13.468838082780948,-22.79625664157589,-29.56363018305475,-29.56363018305475,0.0279750023316226,8.924926467920367,0.0,-75.61111332746331,-7.73189554593925,SDC,2019-06-30,Q2,1.8678025034624568,-0.3094179300683615,-0.5638685065663855,-0.7312604109569988,1.4222445000163986,-2.1560042942839543,-2.1560042942839543,-2.1560042942839543,1.6684623749991152,1747447052.86,1803325052.86,-13.468838082780948,8.924926467920367,-29.56363018305475,-22.79625664157589,-7.73189554593925,-7.73189554593925,9.210318257249968,-75.61111332746331,-30.50898444982067,-23.52521104768117,-0.0185613635313954,-0.0438668512871624,-3.4004734408530783,1.416584488285203,-2.342893081761006,2.0799581902693105,0.2002923976608187,1.822352397101896,0.0,0.0,0.2402065436121638,0.0,0.0,0.2968633687487311,-0.0896197023402147,-3.462312549329124,0.0022217228311388,3.874260404774877,0.0018450333587418,-0.0597859245482646,-4.542839038818075,184945000.0,-226005000.0,-412327000.0,-0.7587354262073848,,,,83.57018090441994,129.30765902206835,35.6962353959325,1.0769391549233798,0.6960144563798816,2.5212742744926904,0.1435145240149554,-0.1673919043906132,18.9,7.95,4.4,11.75,Weak
8,DRRX,"First Eagle Investment Management, LLC",1,2019-06-20,2080000,0,0,0,0,0,0,3.743610797495638,3.1664784973827365,2.8370111875192445,196.23940934398453,270.15845070422534,318.5462502684955,153.14260563380282,165.40364463469268,0.7250060518034375,-1.6243040426046962,-1.7259743403534251,-1.7259743403534251,0.0,-0.1377910909266596,-0.4965872684217857,-0.1597542974144088,1.0,1.0625931445603576,-1.6243040426046962,0.7225239153541405,2.603914194177462,0.5900993490921549,0.6122289140357037,-10.667726550079491,-0.2495037275574573,3.603914194177462,1.859972985141828,0.5876875323331608,0.3331378299120234,0.5423395037416305,0.0798338003671852,-0.0034893979307919,-0.0035301157991498,0.0176629177437365,0.0,-1.3691600096828855,1.0116690240452615,-0.2495037275574573,-2.829414707353677,85.6969696969697,85.6969696969697,0.0,689.7729558434323,689.7729558434323,2397.424376664246,-347.2566654978962,-1730.8214085983925,-1751.0184052333805,-1751.0184052333805,-148.01311194607936,2397.424376664246,0.0,-1542.1075089577816,689.7729558434323,DRRX,2019-03-31,Q1,0.0025485683967647,-0.0043987636574516,-0.0034893979307919,-0.0035301157991498,0.0176629177437365,0.0088579871800408,0.0049102047615228,0.0088579871800408,0.0143734075303378,9903760100.0,9898788100.0,-347.2566654978962,2397.4243766642458,-1751.0184052333805,-1730.8214085983925,689.7729558434323,689.7729558434323,2396.220793996611,-1542.1075089577816,-1750.1393387553042,-1729.9524816497728,-0.0007199285855076,-0.0005777603599263,2.603914194177462,0.7225239153541405,0.7745754790465804,3.743610797495638,-10.667726550079491,0.7932678821879383,0.0,0.0,0.8361171629145485,1.513192931493585,0.1236641221374045,0.0116690240452616,-0.0159767610748002,-0.8048780487804879,0.1057855240861776,0.0296090243326096,-0.1597542974144088,-0.1572354783222335,-0.003322979067314,26731000.0,7959000.0,-913000.0,1.5788410642150716,1989000.0,1761000.0,3415500.0,48.38779956427015,153.14260563380282,270.15845070422534,1.859972985141828,0.5876875323331608,0.3331378299120234,-0.4965872684217857,-4.071786835789772e-05,5.836,21.4,24.1,0.0,Strong Buy
10,KNDI,Hu Xiaoming,2,2019-05-15,667946,0,0,0,0,0,0,1.053285796414139,0.75160559892108,0.0208005781775391,2361.3063725408806,164.0869492365502,746.3268767123839,689.194756798861,57.13211991352284,0.1735862934638591,-0.0032391803175256,-0.2887883084667979,-0.2440424917231463,0.1549433111790814,-0.0102944300154324,-0.0191711251101526,-0.0002180689347696,0.8450566888209186,89.15474909016352,-0.0032391803175256,0.4630242118663788,0.8622813581143434,0.1136890426101394,0.2261140385287671,-0.1332633549112784,-0.2088837162467579,1.862281358114344,0.1545754520652236,0.1305871803465652,0.5484896904887582,0.2194319189726611,0.04218294094092,-0.2722304444848721,-0.2780619644374325,0.0645204010985142,0.0,-0.7769140812221961,1.0214212630170554,-0.2088837162467579,-0.3723534226740916,46.68258819304033,46.68258819304033,0.0,1.2801314274512587,1.2801314274512587,16.295677039991233,-16.69348329970119,-20.534991225974824,-20.97487667407936,-20.97487667407936,1.9948112058132144,16.295677039991233,0.0,-142.1568650887325,1.2801314274512587,KNDI,2019-03-31,Q1,0.350399678760636,-0.0855124107037356,-0.2722304444848721,-0.2780619644374325,0.0645204010985142,4.460479508239719,3.581778804023722,4.460479508239719,1.3117801516357313,294437788.77,358313912.77,-16.69348329970119,16.295677039991233,-20.974876674079358,-20.534991225974824,1.2801314274512587,1.2801314274512587,19.830904945413167,-142.1568650887325,-25.52522270444158,-24.98990732682189,-0.0149759038010044,-0.0486973668016519,0.8622813581143434,0.4630242118663788,-25.342107069361365,1.053285796414139,-0.1332633549112784,3.1835197048535515,0.0,0.0,0.1128777992147642,0.02974426154747,0.1057825738933077,0.0214212630170553,-0.0166424808755145,-0.1331595094197918,0.0017530547705781,2.929520950939643,-0.0002180689347696,-0.0115122225477679,-1.817553929254772,8522962.0,184695452.0,-29858741.0,0.2921800494983811,112023566.5,113327463.5,24610879.0,582.2399274758336,689.194756798861,164.0869492365502,0.1545754520652236,0.1305871803465652,0.5484896904887582,-0.0191711251101526,-0.0058315199525603,4.88,4.96,4.62,3.09,Weak
11,FRGI,Jefferies Financial Group Inc.,9,2019-06-05,1397652,0,0,0,0,0,0,0.8052426957667985,0.5365670521099264,0.0837296223990922,59.72635241058293,2.3185542123756884,17.04560001224545,12.22777306577439,4.817826946471062,0.3530919132720739,0.0269457106335769,0.0195053421122446,0.0138014615440272,0.2924265842349304,0.0033839371643227,0.0089785127597649,0.0072489862124898,0.7075734157650696,0.723875587379727,0.0269457106335769,0.6231071609668983,1.65327407802559,0.2469279485785854,0.2875172571837394,3.621555915721232,0.0753110419906687,2.65327407802559,6.111205276539298,7.3602936132263155,38.81729377713459,0.3383208797664727,0.2451868705012041,0.2886445419209629,-0.1411556749275334,0.1869409281568652,0.0,0.0467163495164363,-0.48902942694889,0.0753110419906687,0.401742196411905,-0.6715783999306579,-0.6715783999306579,0.0,1.3750802701790996,1.3750802701790996,2.1137261790029664,38.28808587155964,-92.52196205859066,45.24596208569954,45.24596208569954,0.3022743621438918,2.1137261790029664,0.0,31.991703948063066,1.3750802701790996,FRGI,2019-03-31,Q1,6.178662179488326,0.0852745684637434,0.2886445419209629,-0.1411556749275334,0.1869409281568652,9.49762736272769,-4.973157696780474,9.49762736272769,3.878670345580684,350565714.24,448427714.24,38.28808587155964,2.1137261790029664,45.24596208569954,-92.52196205859066,1.3750802701790996,1.3750802701790996,2.7037823736825604,31.991703948063066,57.8765764377904,-118.34988499340196,0.0065294462835944,-0.0108082446345737,1.65327407802559,0.6231071609668983,6.981665120924592,0.8052426957667985,3.621555915721232,3.384884228920926,0.0,0.0,0.0994561416202397,0.0,0.5742418665022745,-1.48902942694889,-0.0695620191496032,-1.2083158776707164,0.0047753418710657,4.268827319380115,0.0072489862124898,0.0079480270559313,-14.705476393138335,-11672000.0,-133493000.0,-373230000.0,0.4035427665900479,26750500.0,15493500.0,2803000.0,14.727045799869764,12.22777306577439,2.3185542123756884,6.111205276539298,7.3602936132263155,38.81729377713459,0.0089785127597649,-0.4298002168484963,14.0,8.54,9.5,9.81,Weak
12,SIOX,VIKING GLOBAL PERFORMANCE LLC,5,2019-03-18,10000000,0,0,0,0,0,0,2.021944475168676,1.9139254507244767,1.8789735648711423,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,-0.0015185141922672,-0.3564479920179595,-1.506854130052724,-0.6354707808119817,1.0015185141922671,1.056391905231984,0.0,0.7634489066267565,3.2274165202108964,0.5538217247260395,0.5538217247260395,-17.00734522560336,-1.1612332306820998,4.227416520210896,0.0,0.0,0.0,0.0,0.0,-2.0380844590499776,-2.0415634790373827,5.276865691253004,0.0,0.0,1.0017070048161922,-1.1612332306820998,0.0,585.8214285714286,585.8214285714286,0.0,5.635184904042179,5.635184904042179,0.0,-0.9349254170748776,-3.902891133102063,-3.909553387063343,-3.909553387063343,-0.2617791167809655,0.0,0.0,-2.892216697508004,5.635184904042179,SIOX,2018-12-31,Q3,0.0,-2.13065124085771,-2.0380844590499776,-2.0415634790373827,5.276865691253004,1.413973123452341,1.413973123452341,1.413973123452341,1.873514388574352,128256808.416,92151808.416,-0.9349254170748776,0.0,-3.909553387063343,-3.902891133102063,5.635184904042179,5.635184904042179,0.0,-2.8922166975080037,-2.8089925140523078,-2.8042057213803173,-0.2674010091437889,-0.2562203161442498,3.2274165202108964,0.7634489066267565,1.1331680371602535,2.021944475168676,-17.00734522560336,0.9565547002565896,0.0,0.0,0.0,0.0,0.0,0.0017070048161921,0.0,-0.1176470588235294,0.0,8.23318776510785,-0.6354707808119817,-0.3564479920179595,0.7870040214364786,46197000.0,22760000.0,17946000.0,1.2412565905096662,1555000.0,1417500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.506854130052724,-0.0034790199874047,11.12,5.61,7.63,1.44,Weak
