Symbol,Ins-Count,Ins-Date,Ins-Amt,Rep-Date,Rep-Amt,Sen-Date,Sen-Amt,currentRatio,quickRatio,cashRatio,daysOfSalesOutstanding,daysOfInventoryOutstanding,operatingCycle,daysOfPayablesOutstanding,cashConversionCycle,grossProfitMargin,operatingProfitMargin,pretaxProfitMargin,netProfitMargin,effectiveTaxRate,returnOnAssets,returnOnEquity,returnOnCapitalEmployed,netIncomePerEBT,ebtPerEbit,ebitPerRevenue,debtRatio,debtEquityRatio,longTermDebtToCapitalization,totalDebtToCapitalization,interestCoverage,cashFlowToDebtRatio,companyEquityMultiplier,receivablesTurnover,payablesTurnover,inventoryTurnover,fixedAssetTurnover,assetTurnover,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,payoutRatio,operatingCashFlowSalesRatio,freeCashFlowOperatingCashFlowRatio,cashFlowCoverageRatios,shortTermCoverageRatios,capitalExpenditureCoverageRatio,dividendPaidAndCapexCoverageRatio,dividendPayoutRatio,priceBookValueRatio,priceToBookRatio,priceToSalesRatio,priceEarningsRatio,priceToFreeCashFlowsRatio,priceToOperatingCashFlowsRatio,priceCashFlowRatio,priceEarningsToGrowthRatio,priceSalesRatio,dividendYield,enterpriseValueMultiple,priceFairValue,revenuePerShare,netIncomePerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,interestDebtPerShare,marketCap,enterpriseValue,peRatio,pocfratio,pfcfRatio,pbRatio,ptbRatio,evToSales,enterpriseValueOverEBITDA,evToOperatingCashFlow,evToFreeCashFlow,earningsYield,freeCashFlowYield,debtToEquity,debtToAssets,netDebtToEBITDA,incomeQuality,salesGeneralAndAdministrativeToRevenue,researchAndDdevelopementToRevenue,intangiblesToTotalAssets,capexToOperatingCashFlow,capexToRevenue,capexToDepreciation,stockBasedCompensationToRevenue,grahamNumber,roic,returnOnTangibleAssets,grahamNetNet,workingCapital,tangibleAssetValue,netCurrentAssetValue,investedCapital,averageReceivables,averagePayables,averageInventory,daysSalesOutstanding,daysPayablesOutstanding,daysOfInventoryOnHand,roe,capexPerShare,Ins-Buy-Price,Mon-1-Price,Mon-2-Price,Mon-3-Price,Mon-6-Price,Mon-9-Price,Mon-12-Price,Labels
NDLS,2,12/21/2022,488647,0,0,0,0,0.325789608,0.108175211,0.027687076,15.09019872,8.343309875,12.06418079,12.94869075,-0.88450996,0.162002149,0.011817809,0.006136913,0.006144643,-0.001259446,0.00231611,0.021852066,0.005524024,1.001259446,0.519293656,0.011817809,0.894009579,8.434814876,0.864499261,0.878178555,2.080272109,0.006775693,9.434814876,24.18788559,6.950509648,10.78708586,0.414050999,0.376931548,0.038621347,-0.087979298,0.03999059,0,0.013734629,-2.277996624,0.006775693,0.058940595,-0.305064378,-0.305064378,0,5.931413775,5.931413775,1.667870588,67.85873099,-53.3079952,121.4354331,121.4354331,-2.03576193,1.667870588,0,64.74667091,5.931413775,2.811968766,0.017278543,0.790705248,0.621658069,0.790705248,5.715959358,215790764.6,476211764.6,67.85873099,121.4354331,-53.3079952,5.931413775,5.931413775,3.680693182,64.74667091,267.9863616,-117.6412462,0.003684124,-0.018758912,8.434814876,0.894009579,35.40734194,2.235220126,0.092231471,0,0.022660001,-3.277996624,-0.045022067,-0.999828356,0.005688625,0.554436902,0.005524024,0.00236981,-6.433046059,-44806000,28603000,-285216000,7.208735329,4763500,15439000,9990500,3.720870916,12.94869075,8.343309875,0.021852066,-0.126600645,5.08,0,5.9,0,0,0,0,Strong Buy
BCEI,1,11/2/2021,1339330,0,0,0,0,0.610134184,0.539238391,0.15417603,193.9219216,14.863316,62.67968024,90.91299211,-28.23331187,0.612361355,0.524970652,0.296136616,0.214036418,0.277237579,0.020989797,0.028688658,0.059537989,0.722762421,0.564101279,0.524970652,0.268359039,0.366790616,0.110875085,0.11731202,49.58975634,0.598246946,1.366790616,1.88220082,0.989957518,6.055176384,0.118247014,0.098066475,3.652760219,2.127816137,1.309929009,0.2658452,0.5931892,0.582522807,0.598246946,9.694081211,-2.395340433,-3.109896782,0.2658452,1.042629811,1.042629811,7.778710065,9.085731941,22.51134352,13.11337102,13.11337102,0.035075151,7.778710065,0.007314909,17.31771706,1.042629811,6.157833317,1.318000583,45.94152161,45.94152161,45.94152161,6.170961782,1477667100,1625614100,9.085731941,13.11337102,22.51134352,1.042629811,1.042629811,8.557530151,17.31771706,14.42630808,24.76522448,0.02751567,0.044422049,0.366790616,0.268359039,1.576083946,2.771440517,0.061717282,0,0,-0.417477193,-0.247642962,0,0.012049715,36.91065465,0.040450245,0.020989797,-12.89017472,-102185000,1417250000,-359916000,0.132903158,99270500,70812000,13075500,47.81636424,90.91299211,14.863316,0.028688658,-1.524944082,54.58,0,0,54.58,0,0,0,Weak
CODI-PB,1,8/5/2020,359155,0,0,0,0,3.240535997,1.721694639,0.889118022,210.248586,132.0717867,183.9139038,32.68027601,151.2336278,0.351898977,0.040323475,-0.002149107,-0.025288721,-9.273361227,-0.003939718,-0.007472548,0.007040868,11.76708508,-0.053296662,0.040323475,0.441107361,0.83665791,0.343891663,0.343891663,1.203955611,0.091830338,1.896721715,1.736040213,2.753954709,0.681447584,2.220789595,0.155789522,1.144105888,1.026945774,4.320671339,-3.272371696,0.162888495,0.897596791,0.091830338,0,-9.765318958,2.465251316,-3.272371696,0.984844049,0.984844049,3.332925486,-32.94873566,22.79575086,20.46139281,20.46139281,0.099782777,3.332925486,0.024829266,41.89769421,0.984844049,7.023859399,-0.177624418,23.77026091,1.206317593,23.77026091,12.69415631,1111953931,1498512931,-32.94873566,20.46139281,22.79575086,0.984844049,0.984844049,4.49158171,41.89769421,27.57457918,30.72045206,-0.007587545,0.043867825,0.83665791,0.441107361,10.80800201,-7.377681238,0.267277528,0,0.53213646,-0.102403209,-0.016680305,-0.210955269,0.005665009,9.746744183,0.083632685,-0.008420656,-9.192400488,517165000,57299000,-196655000,0.524138536,188140000,70791500,311468500,51.84211709,32.68027601,132.0717867,-0.007472548,-0.117160115,23.530001,0,24.049999,23.440001,25.42,25.959999,26.950001,Strong Buy
ADVWW,1,3/22/2021,478225,0,0,0,0,1.564814283,1.390590081,0.355312884,255.5009014,5.939677912,68.93990016,26.27411853,42.66578163,0.212704333,-0.062331621,-0.159329811,-0.163784254,-0.024968264,-0.024107346,-0.05701026,-0.010188557,1.02795737,2.556163453,-0.062331621,0.560358889,1.325164782,0.459155075,0.469569269,-0.642606018,0.025719546,2.364850113,1.428566389,3.425424145,15.15233677,6.55207298,0.147189646,0,0,0,0,0.065411395,0.860440449,0.025719546,0.627205791,-7.165399974,-7.165399974,0,0,0,0,0,0,0,0,0,0,0,255.2060203,0,0,0,0,0,0,0,0,1958451000,0,0,0,0,0,2.303011452,255.2060203,35.20810787,40.91870377,0,0,1.325164782,0.560358889,255.2060203,-0.400540054,0,0,0.798985961,-0.139559551,-0.009128785,-0.127085209,0.103628113,0,-0.010501618,-0.11992867,0,324762000,-2076112000,-2337718000,0.885260302,297636500,100036624,22092500,63.00022225,26.27411853,5.939677912,-0.05701026,0,3.01,3.36,0,3.1,1.75,2.38,0.82,Strong Buy
DK,1,3/18/2020,8746548,0,0,0,0,1.25782079,0.812216138,0.405492593,153.1475238,39.94889347,77.71129659,67.5042198,10.20707679,0.06607698,0.0211061,0.008713929,0.014318869,-0.608040201,0.004660576,0.019624317,0.01034246,1.64321608,0.412863071,0.0211061,0.738423386,3.109284042,0.549283203,0.558467368,1.350140056,0.060163219,4.210706355,2.383322897,1.333249984,2.25287842,0.874344347,0.325484942,1.712533597,0.005402314,12.90207686,0.688073394,0.05552393,0.003154574,0.060163219,1.648894668,-1.003164557,-1.220404235,0.688073394,1.489911637,1.489911637,1.087112914,18.98042631,6206.599402,19.57917792,19.57917792,-0.537778745,1.087112914,0.009062934,34.19510593,1.489911637,30.84316227,0.441639185,22.50469032,11.74057931,22.50469032,28.94694999,2482639761,3634939761,18.98042631,19.57917792,6206.599402,1.489911637,1.489911637,1.591688821,34.19510593,28.66671736,9087.349402,0.013171464,0.000161119,3.109284042,0.738423386,10.84007526,3.877675841,0.033892368,0,0.137679404,-0.996845426,-0.055348776,-2.528,0.002890047,14.95414473,0.022107113,0.005404691,-40.97250137,607400000,869300000,-2217700000,1.264838264,902450000,1482100000,927650000,37.76240312,67.5042198,39.94889347,0.019624317,-1.707131283,10.7,0,21.74,19.38,11.88,15.02,21.87,Strong Buy
TSHA,3,10/31/2022,1247216,0,0,0,0,1.297625155,1.035215305,1.035215305,0,0,0,0,0,0,0,0,0,0,-0.236004952,-2.364461621,-0.320111325,1,1.049174444,0,0.900186601,9.018694949,0,0,-20.20467365,0,10.01869495,0,0,0,0,0,-1.696695632,-1.94578078,0.838002855,0,0,1.146806029,0,0,6.811709326,6.811709326,0,7.101381399,7.101381399,0,-0.750845492,-0.991889744,-1.137505139,-1.137505139,-0.031535511,0,0,-1.822271704,7.101381399,0,-0.642608906,0.271778108,0.271778108,0.271778108,0.030314276,79009969.44,44703969.44,-0.750845492,-1.137505139,-0.991889744,7.101381399,7.101381399,0,-1.822271704,-0.643602261,-0.561212833,-0.332957982,-1.00817657,9.018694949,0.900186601,1.398418392,0.908935068,0,0,0,0.146806029,0,-19.09550562,0,1.982311336,-0.320111325,-0.236004952,-1.613080993,9863000,11126000,-57340000,0,0,19609000,0,0,0,0,-2.364461621,-0.249085149,1.72,0,0,1.64,0,0,0,Weak
THM,2,3/28/2018,2695581,0,0,0,0,5.648277438,5.23383189,5.23383189,0,0,0,7382.063809,0,0,0,0,0,0,-0.023954764,-0.024134299,-0.024442977,1,0.987371504,0,0.00743903,0.007494784,0,0,-357.6938619,0,1.007494784,0,0.012191713,0,0,0,-0.004619101,-0.004619101,0.013423939,0,0,1,0,0,0,0,0,1.256514109,1.256514109,0,-13.01585442,-93.09170279,-93.09170279,-93.09170279,-0.74803761,0,0,-50.61816559,1.256514109,0,-0.008259158,0.342216611,0.342216611,0.342216611,2.34E-05,71895466.8,69651000.8,-13.01585442,-93.09170279,-93.09170279,1.256514109,1.256514109,0,-50.61816559,-90.18552287,-90.18552287,-0.019207345,-0.010742096,0.007494784,0.00743903,1.631143133,0.559270226,0,0,0,0,0,0,0,0.25217945,-0.026350657,-0.023954764,0.0108591,1993358,57218193,1993358,0,0,78141.5,0,0,7382.063809,0,-0.024134299,0,0.5016,0,0,0.5009,0.4777,0.4898,0.509,Weak
SBUX,3,9/15/2022,3661848,0,0,0,0,0.841128725,0.542083214,0.378165762,58.23805843,32.4472203,46.8072895,22.66391711,24.14337239,0.274107066,0.158955105,0.146280414,0.112010896,0.233601745,0.032422699,-0.105336641,0.065582318,0.765727227,0.920262447,0.158955105,1.307530846,-4.247977846,1.676082598,1.568944238,10.52396426,0.052922495,-3.248854786,6.267379268,3.971069942,2.77373529,0.564204274,0.289460225,1.102702703,0.73347864,2.837314734,0.615511009,0.15518828,0.665164453,0.052922495,0.523965367,-2.986540732,9.138728324,0.615511009,-10.48995788,-10.48995788,11.15461405,24.89627013,108.0604065,71.87794118,71.87794118,0.699466637,11.15461405,0.006180755,65.44308829,-10.48995788,7.105579773,0.795902354,-7.555797733,-10.73539669,-7.555797733,20.9435048,90911220000,1.11633E+11,24.89627013,71.87794118,108.0604065,-10.48995788,-10.48995788,13.69711046,65.44308829,88.26124288,132.6908594,0.010041665,0.009254083,-4.247977846,1.307530846,12.14773127,1.384261793,0.059717059,0,0.129797345,-0.334835547,-0.051962553,-1.082289803,0.007042858,11.63218539,0.065582318,0.037258791,-27.47946818,-1334900000,-12313500000,-29747600000,-2.757641493,1291350000,1409650000,2026450000,14.3600692,22.66391711,32.4472203,-0.105336641,-0.369224063,92.22,0,97.83,99.99,0,0,0,Buy
LBRDA,1,3/4/2022,303945,0,0,0,0,0.788659794,0.682130584,0.328178694,302.013962,0,0,0,0,0,-0.081401981,1.956101734,1.55306834,0.205784454,0.022787306,0.038180606,-0.001236788,0.793960924,-24.03014902,-0.081401981,0.402463461,0.674335934,0.273998136,0.275452529,-0.751483239,-0.034537143,1.675520885,1.208553398,0,0,0.241476237,0.014672442,-0.734471578,-0.970779777,1.055021294,0,-0.53408954,1.321739065,-0.034537143,-4.748857143,3.10810874,3.10810874,0,2.87638739,2.87638739,117.0024948,18.83408665,-165.7430489,-219.0690625,-219.0690625,0.298788929,117.0024948,0,56.33000517,2.87638739,1.375184353,2.135755279,55.93822326,45.38801032,55.93822326,21.4150984,29129175100,32788175100,18.83408665,-219.0690625,-165.7430489,2.87638739,2.87638739,131.6995168,56.33000517,-246.5869615,-186.562513,0.013273805,-0.006033436,0.674335934,0.402463461,6.286153111,-0.343893135,0,0,0.113272041,0.321739065,-0.171837469,-0.626974822,0.040102506,51.84672605,-0.000970431,0.025698192,-35.81272543,-123000000,8217000000,-6370000000,0.380171818,225781000,0,0,74.4691961,0,0,0.038180606,-0.236308199,131.78,134.39,109.1,0,0,0,0,Weak
PLAG,1,12/7/2022,2800000,0,0,0,0,0.718036092,0.297109818,0.006565306,356.4488212,77.22262369,165.1141139,69.23124687,95.88286699,0.068013979,-0.205495305,-0.220020607,-0.210058928,-0.016668534,-0.022094276,-0.03532992,-0.033434462,0.95472388,1.070684348,-0.205495305,0.359368938,0.574650018,0.004594627,0.096047848,-13.13088598,-0.309613188,1.599053113,1.02398992,1.299991031,1.165461567,0.390979601,0.105181322,-0.028801203,-0.028801203,0.003249355,0,-0.195596075,1,-0.309613188,-0.323674185,0,0,0,0.753867393,0.753867393,4.482222852,-5.334482686,-22.91570962,-22.91570962,-22.91570962,0.480103442,4.482222852,0,-29.3812215,0.753867393,0.147248368,-0.030930834,0.875485538,0.480935485,0.875485538,0.095327581,46007480.64,52265461.64,-5.334482686,-22.91570962,-22.91570962,0.753867393,0.753867393,5.091899041,-29.3812215,-26.0327261,-26.0327261,-0.0468649,-0.043638186,0.574650018,0.359368938,-3.517947037,0.874414588,0.211027125,0.007699499,0.297092925,0,0,0,0,0.780569476,-0.033434462,-0.031432712,-0.3331243,-9727924,33525197,-10297417,0.106253244,5734700,5382792.5,6486718,87.89149017,69.23124687,77.22262369,-0.03532992,0,0.72,0,0.605,0.58,0,0,0,Weak
